"name","cuisine","visited","rating","notes","gps","googleUrl","originalUrl"
"Chunky's Burgers","Hamburger","✓","low",,"29.4728229,-98.6046362","https://maps.google.com/maps?q=+%4029.4728229,-98.6046362","https://www.google.com/maps/place/Chunky's+Burgers/data=!4m2!3m1!1s0x865c5db101d5e4fb:0x23e792c721914647"
"Chama Gaúcha","Brazilian Steakhouse","",high,,"29.609642,-98.4991","https://maps.app.goo.gl/Cp586xjP4woKh2at5","https://www.google.com/maps/place/Chama+Ga%C3%BAcha+Brazilian+Steakhouse+-+San+Antonio/@29.609642,-98.4991,477m/data=!3m1!1e3!4m6!3m5!1s0x865c621d75e3e825:0xa23f8a553082d3fb!8m2!3d29.6102335!4d-98.4977099!16s%2Fg%2F1tvm35ly?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D"
"Clementine","American",,"low",,"29.5329986,-98.5244519","https://maps.google.com/maps?q=+%4029.5329986,-98.5244519","https://www.google.com/maps/place/Clementine/data=!4m2!3m1!1s0x865c6066a61a3885:0x7eaee0644456fe46"
"Comfort Cafe - Los Patios","Brunch",,"medium",,"29.5203099,-98.434348","https://maps.google.com/maps?q=+%4029.5203099,-98.434348","https://www.google.com/maps/place/Comfort+Cafe+San+Antonio/data=!4m2!3m1!1s0x865c5db3281705f5:0x25cb3bf288fdab86"
"Comfort Coffee Co.","Coffee","","high",,"29.9669311,-98.9082237","https://maps.google.com/maps?q=+%4029.9669311,-98.9082237","https://www.google.com/maps/place/Comfort+Coffee+Co./data=!4m2!3m1!1s0x865bf3d989fc1ef5:0xd8e1230c33731b1a"
"Cuishe Cocina Mexicana","Mexican",,"low",,"29.6107215,-98.4921302","https://maps.google.com/maps?q=+%4029.6107215,-98.4921302","https://www.google.com/maps/place/Cuishe+Cocina+Mexicana/data=!4m2!3m1!1s0x865c63a2c6cb2edf:0x6d72298f020b075"
"La Cantina by Cuishe","Mexican",,"low",,"29.4212035,-98.4814191","https://maps.google.com/maps?q=+%4029.4212035,-98.4814191","https://www.google.com/maps/place/Cuishe+Cocina+Mexicana/data=!4m2!3m1!1s0x865cf73d514b751b:0x56b26dcf4d3f49d9"
"Cullum’s Attaboy","Brunch",,"medium",,"29.4529251,-98.4876537","https://maps.google.com/maps?q=+%4029.4529251,-98.4876537","https://www.google.com/maps/place/Cullum%E2%80%99s+Attaboy/data=!4m2!3m1!1s0x865c5f2a388f3d69:0x44e1524aed8d925c"
"Cured","American",,"medium",,"29.4419494,-98.4824532","https://maps.google.com/maps?q=+%4029.4419494,-98.4824532","https://www.google.com/maps/place/Cured/data=!4m2!3m1!1s0x865cf5f6b699ef7b:0xea2b8ff83c9a2d37"
"Curry Boys BBQ","BBQ",,"medium",,"29.4478582,-98.4906158","https://maps.google.com/maps?q=+%4029.4478582,-98.4906158","https://www.google.com/maps/place/Curry+Boys+BBQ/data=!4m2!3m1!1s0x865c5f1bd8e8b961:0xfaae01922b0b4a3e"
"Cypress Cafe","Korean",,"high",,"29.441912,-98.5130988","https://maps.google.com/maps?q=+%4029.441912,-98.5130988","https://www.google.com/maps/place/Cypress+Cafe/data=!4m2!3m1!1s0x865c5f5b237b6971:0xe0d159de84c2ba61"
"DASHI Chinese Kitchen + Bar","Chinese",,"low",,"29.5791201,-98.4448604","https://maps.google.com/maps?q=+%4029.5791201,-98.4448604","https://www.google.com/maps/place/DASHI+Chinese+Kitchen+%2B+Bar/data=!4m2!3m1!1s0x865c8b91a66d432d:0x3fb0f08598d677af"
"Dallah","Mediterranean",,"medium",,"29.5166667,-98.5981305","https://maps.google.com/maps?q=+%4029.5166667,-98.5981305","https://www.google.com/maps/place/Dallah+Mediterranean+Cuisine/data=!4m2!3m1!1s0x865c67674aba2951:0x92889bcacef9aaaa"
"Dave's Hot Chicken","American","✓","low",,"29.4455673,-98.6747293","https://maps.google.com/maps?q=+%4029.4455673,-98.6747293","https://www.google.com/maps/place/Dave's+Hot+Chicken/data=!4m2!3m1!1s0x865c436e803423d3:0xdc577857129f729f"
"Tip Top Cafe","American",,"low",,"29.4701931,-98.5338464","https://maps.google.com/maps?q=+%4029.4701931,-98.5338464","https://www.google.com/maps/place/De+Wese's+Tip+Top+Cafe/data=!4m2!3m1!1s0x865c5e5598a3ff91:0xbf6a49fc7e1d6b8e"
"Demo's Greek Food","Mediterranean",,"medium",,"29.5223713,-98.509449","https://maps.google.com/maps?q=+%4029.5223713,-98.509449","https://www.google.com/maps/place/Demo's+Greek+Food/data=!4m2!3m1!1s0x865c600ca8774e69:0xa6590912c2bb193a"
"Demo's Greek Food (2)","Mediterranean",,"medium",,"29.6109435,-98.5140196","https://maps.google.com/maps?q=+%4029.6109435,-98.5140196","https://www.google.com/maps/place/Demo's+Greek+Food/data=!4m2!3m1!1s0x865c6220bc65818b:0xdd028b865093e648"
"Demo's Greek Food (3)","Mediterranean",,"medium",,"29.449364,-98.4906079","https://maps.google.com/maps?q=+%4029.449364,-98.4906079","https://www.google.com/maps/place/Demo's+Greek+Food+N.St.+Mary's/data=!4m2!3m1!1s0x865c5f609a5e2bff:0xafc705388a3dc743"
